fips,val
01001,2
01003,3
01005,1
01007,2
01009,2
01011,2
01013,2
01015,3
01017,1
01019,2
01021,2
01023,1
01025,2
01027,2
01029,2
01031,2
01033,2
01035,2
01037,2
01039,2
01041,2
01043,3
01045,2
01047,2
01049,1
01051,2
01053,1
01055,2
01057,1
01059,2
01061,1
01063,2
01065,2
01067,2
01069,2
01071,1
01073,3
01075,1
01077,2
01079,1
01081,2
01083,1
01085,1
01087,1
01089,3
01091,2
01093,2
01095,3
01097,2
01099,1
01101,3
01103,3
01105,2
01107,1
01109,1
01111,1
01113,1
01115,3
01117,3
01119,2
01121,3
01123,2
01125,3
01127,2
01129,2
01131,1
01133,2
02016,0
02020,3
02050,0
02068,0
02070,0
02090,2
02122,3
02150,0
02164,0
02170,2
02180,0
02185,0
02240,0
02261,0
02290,0
04001,0
04003,2
04005,2
04007,3
04009,2
04011,1
04012,0
04013,3
04015,3
04017,2
04019,3
04021,3
04023,0
04025,1
04027,3
05001,0
05003,2
05005,2
05007,3
05009,1
05011,0
05013,0
05015,2
05017,0
05019,1
05021,0
05023,0
05025,0
05027,2
05029,1
05031,2
05033,1
05035,1
05037,2
05039,2
05041,0
05043,0
05045,1
05047,1
05049,0
05051,1
05053,1
05055,1
05057,1
05059,2
05061,2
05063,2
05065,0
05067,2
05069,2
05071,0
05073,0
05075,2
05077,0
05079,0
05081,2
05083,2
05085,1
05087,0
05089,2
05091,1
05093,2
05095,0
05097,0
05099,1
05101,0
05103,1
05105,0
05107,0
05109,0
05111,1
05113,0
05115,2
05117,0
05119,2
05121,1
05123,1
05125,1
05127,1
05129,0
05131,2
05133,2
05135,1
05137,0
05139,2
05141,1
05143,3
05145,2
05147,0
05149,2
06001,3
06003,0
06005,3
06007,3
06009,2
06011,2
06013,3
06015,3
06017,3
06019,3
06021,1
06023,3
06025,3
06027,1
06029,3
06031,3
06033,3
06035,3
06037,3
06039,3
06041,3
06043,2
06045,2
06047,3
06049,0
06051,1
06053,3
06055,3
06057,3
06059,3
06061,3
06063,2
06065,3
06067,3
06069,2
06071,3
06073,3
06075,3
06077,3
06079,3
06081,3
06083,3
06085,3
06087,3
06089,3
06091,0
06093,1
06095,3
06097,3
06099,3
06101,3
06103,2
06105,2
06107,3
06109,3
06111,3
06113,3
06115,3
08001,3
08003,0
08005,3
08007,0
08009,0
08011,0
08013,3
08015,0
08017,0
08019,0
08021,0
08023,0
08027,0
08029,1
08031,3
08033,0
08035,3
08037,1
08039,2
08041,3
08043,1
08045,2
08047,0
08049,0
08051,0
08053,0
08055,0
08057,0
08059,3
08061,0
08063,0
08065,0
08067,3
08069,3
08071,0
08073,0
08075,0
08077,3
08079,0
08081,1
08083,1
08085,2
08087,1
08089,0
08091,0
08093,2
08095,0
08097,1
08099,0
08101,2
08103,0
08105,0
08107,2
08109,0
08111,0
08113,0
08115,0
08117,1
08119,2
08121,0
08123,3
08125,0
09001,3
09003,3
09005,3
09007,3
09009,3
09011,3
09013,3
09015,3
10001,3
10003,3
10005,3
11001,3
12001,2
12003,1
12005,3
12007,1
12009,3
12011,3
12013,0
12015,2
12017,2
12019,3
12021,3
12023,2
12027,2
12029,0
12031,3
12033,2
12035,3
12037,0
12039,2
12041,0
12043,0
12045,0
12047,1
12049,0
12051,1
12053,3
12055,3
12057,3
12059,0
12061,2
12063,1
12065,0
12067,0
12069,3
12071,3
12073,3
12075,1
12077,0
12079,0
12081,3
12083,3
12085,3
12086,3
12087,3
12089,3
12091,3
12093,1
12095,3
12097,3
12099,3
12101,3
12103,3
12105,3
12107,3
12109,3
12111,3
12113,3
12115,3
12117,3
12119,2
12121,2
12123,2
12125,0
12127,3
12129,0
12131,2
12133,0
13001,1
13003,2
13005,1
13007,0
13009,3
13011,2
13013,2
13015,3
13017,2
13019,2
13021,3
13023,2
13025,2
13027,1
13029,2
13031,2
13033,3
13035,1
13037,1
13039,2
13043,2
13045,3
13047,1
13049,1
13051,3
13053,0
13055,2
13057,3
13059,2
13061,0
13063,3
13065,2
13067,3
13069,3
13071,3
13073,3
13075,1
13077,3
13079,1
13081,2
13083,1
13085,1
13087,2
13089,3
13091,2
13093,2
13095,2
13097,1
13099,2
13101,0
13103,2
13105,2
13107,2
13109,2
13111,2
13113,2
13115,3
13117,2
13119,2
13121,3
13123,2
13125,0
13127,3
13129,2
13131,2
13133,2
13135,2
13137,2
13139,3
13141,1
13143,2
13145,1
13147,2
13149,2
13151,3
13153,3
13155,2
13157,3
13159,1
13161,2
13163,3
13165,2
13167,2
13169,1
13171,1
13173,2
13175,3
13177,2
13179,3
13181,1
13183,2
13185,3
13187,1
13189,1
13191,2
13193,1
13195,3
13197,0
13199,2
13201,1
13205,2
13207,2
13209,2
13211,1
13213,3
13215,3
13217,3
13219,1
13221,2
13223,3
13225,1
13227,1
13229,3
13231,2
13233,3
13235,2
13237,2
13239,0
13241,1
13243,2
13245,3
13247,3
13249,1
13251,1
13253,2
13255,2
13257,2
13259,1
13261,3
13263,0
13265,0
13267,1
13269,2
13271,1
13273,1
13275,2
13277,3
13279,3
13281,2
13283,2
13285,1
13287,1
13289,1
13291,1
13293,2
13295,3
13297,3
13299,2
13301,0
13303,2
13305,2
13307,0
13309,2
13311,3
13313,3
13315,2
13317,1
13319,1
13321,1
15001,0
15003,3
15007,0
15009,0
16001,3
16003,0
16005,2
16007,0
16009,0
16011,1
16013,0
16015,0
16017,0
16019,1
16021,0
16023,0
16027,3
16029,0
16031,2
16033,0
16035,0
16037,0
16039,0
16041,0
16043,0
16045,0
16047,0
16049,0
16051,0
16053,0
16055,3
16057,0
16059,0
16061,0
16063,0
16065,0
16067,2
16069,1
16071,0
16073,0
16075,0
16077,0
16079,0
16081,0
16083,1
16085,0
16087,0
17001,1
17003,0
17005,2
17007,2
17009,0
17011,2
17013,0
17015,1
17017,2
17019,2
17021,2
17023,2
17025,2
17027,1
17029,2
17031,3
17033,1
17035,2
17037,3
17039,2
17041,2
17043,3
17045,0
17047,1
17049,3
17051,2
17053,1
17055,2
17057,1
17059,0
17061,2
17063,3
17065,0
17067,1
17069,0
17071,0
17073,1
17075,2
17077,1
17079,3
17081,1
17083,1
17085,1
17087,0
17089,3
17091,3
17093,3
17095,2
17097,3
17099,3
17101,1
17103,1
17105,2
17107,2
17109,2
17111,3
17113,3
17115,3
17117,2
17119,3
17121,3
17123,2
17125,1
17127,2
17129,1
17131,2
17133,1
17135,2
17137,2
17139,2
17141,1
17143,3
17145,2
17147,2
17149,1
17151,0
17153,0
17155,2
17157,2
17159,1
17161,3
17163,2
17165,2
17167,3
17169,0
17171,0
17173,3
17175,0
17177,2
17179,3
17181,2
17183,3
17185,2
17187,0
17189,2
17191,1
17193,2
17195,1
17197,3
17199,2
17201,3
17203,2
18001,3
18003,3
18005,2
18007,0
18009,0
18011,3
18013,0
18015,0
18017,2
18019,3
18021,1
18023,1
18025,2
18027,2
18029,1
18031,1
18033,1
18035,3
18037,3
18039,3
18041,2
18043,3
18045,1
18047,2
18049,2
18051,1
18053,2
18055,1
18057,3
18059,2
18061,1
18063,3
18065,2
18067,2
18069,2
18071,2
18073,2
18075,3
18077,2
18079,1
18081,2
18083,1
18085,2
18087,1
18089,3
18091,2
18093,2
18095,3
18097,3
18099,1
18101,0
18103,1
18105,1
18107,2
18109,2
18111,2
18113,1
18115,0
18117,2
18119,2
18121,1
18123,1
18125,2
18127,3
18129,2
18131,1
18133,1
18135,2
18137,1
18139,2
18141,3
18143,3
18145,2
18147,1
18149,2
18151,2
18153,1
18155,0
18157,3
18159,1
18161,0
18163,3
18165,2
18167,3
18169,1
18171,0
18173,2
18175,2
18177,2
18179,2
18181,3
18183,1
19001,0
19003,0
19005,0
19007,1
19009,0
19011,2
19013,3
19015,1
19017,2
19019,1
19021,1
19023,1
19025,0
19027,2
19029,0
19031,2
19033,1
19035,2
19037,0
19039,0
19041,2
19043,1
19045,2
19047,1
19049,1
19051,0
19053,0
19055,2
19057,1
19059,0
19061,2
19063,1
19065,0
19067,2
19069,0
19071,0
19073,1
19075,2
19077,1
19079,0
19081,0
19083,1
19085,0
19087,0
19089,0
19091,0
19093,0
19095,1
19097,1
19099,2
19101,2
19103,2
19105,2
19107,0
19109,0
19111,0
19113,2
19115,0
19117,0
19119,1
19121,2
19123,2
19125,2
19127,1
19129,0
19131,0
19133,0
19135,0
19137,2
19139,0
19141,0
19143,0
19145,1
19147,0
19149,2
19151,0
19153,3
19155,2
19157,1
19159,0
19161,1
19163,1
19165,0
19167,2
19169,2
19171,1
19173,0
19175,1
19177,0
19179,2
19181,2
19183,1
19185,0
19187,2
19189,1
19191,0
19193,3
19195,0
19197,0
20001,0
20003,0
20005,2
20007,0
20009,1
20011,0
20013,0
20015,2
20017,0
20019,0
20021,1
20023,0
20025,0
20027,0
20029,0
20031,1
20033,0
20035,1
20037,2
20039,0
20041,2
20043,0
20045,2
20047,0
20049,0
20051,2
20053,0
20055,1
20057,3
20059,1
20061,0
20063,0
20065,0
20067,0
20069,0
20071,0
20073,1
20075,0
20077,0
20079,2
20081,0
20083,0
20085,1
20087,1
20089,0
20091,3
20093,0
20095,0
20097,0
20099,1
20101,0
20103,2
20105,2
20107,0
20109,0
20111,2
20113,1
20115,0
20117,1
20119,0
20121,1
20123,0
20125,1
20127,0
20129,0
20131,0
20133,1
20135,0
20137,0
20139,0
20141,0
20143,0
20145,2
20147,1
20149,2
20151,0
20153,0
20155,2
20157,0
20159,0
20161,2
20163,0
20165,0
20167,0
20169,1
20171,0
20173,3
20175,1
20177,3
20181,0
20183,0
20185,0
20187,0
20189,1
20191,2
20193,0
20195,0
20197,0
20199,0
20201,0
20203,0
20205,0
20207,0
20209,3
21001,0
21003,1
21005,1
21007,1
21009,1
21011,2
21013,2
21015,3
21017,2
21019,3
21021,2
21023,1
21025,0
21027,3
21029,3
21031,2
21033,2
21035,1
21037,2
21039,0
21041,2
21043,2
21045,0
21047,2
21049,2
21051,0
21053,0
21055,2
21057,0
21059,3
21061,2
21063,0
21065,2
21067,3
21069,2
21071,2
21073,2
21075,1
21077,0
21079,2
21081,2
21083,2
21085,1
21087,0
21089,3
21091,1
21093,3
21095,3
21097,1
21099,1
21101,2
21103,1
21105,0
21107,2
21109,1
21111,3
21113,1
21115,2
21117,1
21119,0
21121,2
21123,2
21125,3
21127,1
21129,0
21131,1
21133,2
21135,0
21137,1
21139,2
21141,2
21143,0
21145,1
21147,2
21149,0
21151,2
21153,0
21155,1
21157,1
21159,0
21161,0
21163,1
21165,1
21167,2
21169,1
21171,1
21173,2
21175,0
21177,1
21179,3
21181,1
21183,2
21185,2
21187,0
21189,0
21191,1
21193,2
21195,3
21197,2
21199,3
21201,0
21203,1
21205,2
21207,1
21209,2
21211,2
21213,1
21215,1
21217,2
21219,1
21221,1
21223,2
21225,1
21227,2
21229,1
21231,2
21233,2
21235,1
21237,2
21239,1
22001,1
22003,2
22005,2
22007,1
22009,1
22011,1
22013,0
22015,3
22017,3
22019,3
22021,1
22023,1
22025,1
22027,1
22029,0
22031,1
22033,3
22035,0
22037,1
22039,3
22041,2
22043,2
22045,1
22047,2
22049,1
22051,3
22053,1
22055,3
22057,3
22059,2
22061,2
22063,2
22065,0
22067,2
22069,1
22071,3
22073,2
22075,2
22077,2
22079,3
22081,2
22083,2
22085,1
22087,1
22089,1
22091,0
22093,2
22095,3
22097,2
22099,1
22101,3
22103,3
22105,2
22107,0
22109,1
22111,1
22113,1
22115,1
22117,1
22119,2
22121,1
22123,1
22125,1
22127,2
23001,2
23003,1
23005,3
23007,2
23009,2
23011,3
23013,2
23015,1
23017,2
23019,3
23021,0
23023,2
23025,1
23027,2
23029,0
23031,2
24001,2
24003,3
24005,3
24009,1
24011,2
24013,3
24015,3
24017,2
24019,1
24021,3
24023,0
24025,3
24027,3
24029,1
24031,3
24033,3
24035,1
24037,2
24039,2
24041,1
24043,3
24045,3
24047,2
24510,3
25001,2
25003,3
25005,3
25007,0
25009,3
25011,2
25013,3
25015,2
25017,3
25019,0
25021,3
25023,3
25025,3
25027,3
26001,2
26003,2
26005,3
26007,0
26009,1
26011,2
26013,0
26015,2
26017,2
26019,0
26021,3
26023,2
26025,3
26027,2
26029,0
26031,2
26033,2
26035,1
26037,2
26039,0
26041,3
26043,2
26045,3
26047,2
26049,3
26051,1
26053,0
26055,3
26057,2
26059,2
26061,2
26063,2
26065,3
26067,3
26069,2
26071,1
26073,2
26075,3
26077,3
26079,0
26081,3
26083,0
26085,0
26087,3
26089,2
26091,3
26093,3
26095,0
26097,0
26099,3
26101,2
26103,3
26105,2
26107,2
26109,2
26111,2
26113,2
26115,3
26117,2
26119,0
26121,2
26123,2
26125,3
26127,2
26129,2
26131,2
26133,2
26135,0
26137,1
26139,2
26141,2
26143,2
26145,3
26147,3
26149,2
26151,2
26153,0
26155,3
26157,3
26159,3
26161,3
26163,3
26165,3
27001,0
27003,3
27005,0
27007,0
27009,0
27011,0
27013,2
27015,0
27017,2
27019,2
27021,0
27023,0
27025,0
27027,1
27029,0
27031,0
27033,0
27035,2
27037,3
27039,0
27041,0
27043,0
27045,0
27047,0
27049,1
27051,0
27053,3
27055,0
27057,0
27059,0
27061,2
27063,0
27065,0
27067,2
27069,0
27071,0
27073,0
27075,0
27077,0
27079,0
27081,0
27083,0
27085,1
27087,0
27089,0
27091,0
27093,0
27095,0
27097,2
27099,0
27101,0
27103,0
27105,0
27107,0
27109,2
27111,0
27113,0
27115,0
27117,0
27119,0
27121,0
27123,2
27125,0
27127,0
27129,0
27131,1
27133,0
27135,0
27137,3
27139,1
27141,2
27143,0
27145,2
27147,1
27149,0
27151,0
27153,0
27155,0
27157,0
27159,0
27161,0
27163,3
27165,0
27167,0
27169,1
27171,2
27173,0
28001,2
28003,2
28005,1
28007,1
28009,1
28011,3
28013,2
28015,2
28017,1
28019,2
28021,1
28023,2
28025,1
28027,1
28029,2
28031,1
28033,3
28035,3
28037,1
28039,2
28041,2
28043,1
28045,3
28047,2
28049,3
28051,2
28053,2
28055,0
28057,1
28059,2
28061,1
28063,2
28065,1
28067,2
28069,0
28071,1
28073,3
28075,2
28077,2
28079,1
28081,2
28083,2
28085,1
28087,2
28089,1
28091,2
28093,1
28095,2
28097,2
28099,2
28101,2
28103,1
28105,2
28107,2
28109,3
28111,1
28113,2
28115,2
28117,1
28119,2
28121,3
28123,2
28125,1
28127,1
28129,1
28131,3
28133,2
28135,2
28137,2
28139,1
28141,2
28143,0
28145,2
28147,2
28149,2
28151,2
28153,2
28155,1
28157,2
28159,2
28161,1
28163,2
29001,1
29003,2
29005,0
29007,0
29009,1
29011,1
29013,1
29015,1
29017,1
29019,2
29021,2
29023,2
29025,2
29027,2
29029,2
29031,2
29033,0
29035,0
29037,2
29039,0
29041,0
29043,2
29045,0
29047,3
29049,2
29051,2
29053,2
29055,1
29057,0
29059,0
29061,1
29063,1
29065,1
29067,0
29069,2
29071,3
29073,2
29075,2
29077,3
29079,2
29081,0
29083,1
29085,0
29087,0
29089,0
29091,2
29093,1
29095,3
29097,3
29099,3
29101,2
29103,0
29105,2
29107,2
29109,2
29111,0
29113,2
29115,0
29117,1
29119,2
29121,2
29123,2
29125,2
29127,0
29129,0
29131,2
29133,1
29135,2
29137,2
29139,2
29141,2
29143,2
29145,1
29147,1
29149,0
29151,1
29153,0
29155,1
29157,1
29159,3
29161,2
29163,2
29165,3
29167,1
29169,2
29171,0
29173,0
29175,1
29177,1
29179,0
29181,2
29183,3
29185,0
29186,2
29187,3
29189,3
29195,3
29197,0
29199,0
29201,2
29203,0
29205,2
29207,1
29209,1
29211,2
29213,1
29215,0
29217,0
29219,3
29221,2
29223,2
29225,1
29227,0
29229,2
29510,3
30001,1
